"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",54,"true","452013767143260",5,1,1,1578051935701,"room000039"
1765,"false","NA","true","364089286126980",5,1,1,1578051935703,"room000039"
