"time","timeup","id","order.0","order.1","order.2","forms.howMuch","forms.reject","forms.disconnect","isCorrect","done","player","stage.stage","stage.step","stage.round","timestamp","session"
18923,"false","quizzes",0,1,2,"[object Object]","[object Object]","[object Object]","true","true","244127035695640",3,1,1,1578009132355,"room000010"
23414,"false","quizzes",0,1,2,"[object Object]","[object Object]","[object Object]","true","true","573933014313817",3,1,1,1578009136825,"room000010"
