"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",0,"true","357394836711702",4,1,1,1578040645432,"room000031"
1744,"false","NA","true","24088114665145",4,1,1,1578040645434,"room000031"
