"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
873,"false",60,"244127035695640","ACCEPT","true","573933014313817",4,2,2,1578009156461,"room000010"
1975,"false","NA","NA","NA","true","244127035695640",4,2,2,1578009157556,"room000010"
