"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",0,"true","522328220933520",4,1,2,1578011575651,"room000015"
1749,"false","NA","true","612579553382354",4,1,2,1578011575654,"room000015"
