"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2053,"false",40,"573933014313817","ACCEPT","true","244127035695640",4,2,1,1578009147054,"room000010"
3972,"false","NA","NA","NA","true","573933014313817",4,2,1,1578009148972,"room000010"
