"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
7321,"false",40,"true","573933014313817",4,1,1,1578009144476,"room000010"
6498,"false","NA","true","244127035695640",4,1,1,1578009144481,"room000010"
