"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
30279,"true","NA","612579553382354","ACCEPT","true","522328220933520",4,2,1,1578011570962,"room000015"
2675,"false","NA","NA","NA","true","612579553382354",4,2,1,1578011573636,"room000015"
