"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
10622,"false","NA","614873440592112","REJECT","true","505113500183740",4,2,2,1578013832399,"room000029"
2284,"false","NA","NA","NA","true","614873440592112",4,2,2,1578013834677,"room000029"
