"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
10655,"false","NA","509288158539489","ACCEPT","true","858120256469387",6,2,1,1578005228237,"room000002"
918,"false","NA","NA","NA","true","509288158539489",6,2,1,1578005229154,"room000002"
