"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",21,"true","296636606270078",5,1,2,1578048545160,"room000038"
1698,"false","NA","true","277176842786600",5,1,2,1578048545162,"room000038"
