"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2002,"false",49,"true","392302729377188",4,1,2,1578042446673,"room000036"
1797,"false","NA","true","366444366211233",4,1,2,1578042446675,"room000036"
