"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",25,"true","55980643015175",6,1,1,1577801900415,"room000001"
1693,"false","NA","true","39868517605439",6,1,1,1577801900418,"room000001"
