"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
27273,"false","NA","539262114680531","ACCEPT","true","192953223998371",4,2,2,1578006673222,"room000008"
803,"false","NA","NA","NA","true","539262114680531",4,2,2,1578006674025,"room000008"
