"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",60,"true","192953223998371",4,1,1,1578006642963,"room000008"
1697,"false","NA","true","539262114680531",4,1,1,1578006642966,"room000008"
