"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
12475,"false","NA","366444366211233","REJECT","true","392302729377188",4,2,1,1578042443432,"room000036"
1231,"false","NA","NA","NA","true","366444366211233",4,2,1,1578042444663,"room000036"
