"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",49,"true","770453361644047",5,1,2,1578006275119,"room000007"
1757,"false","NA","true","284020199437070",5,1,2,1578006275122,"room000007"
