"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",71,"true","401645949554954",4,1,2,1578041172822,"room000035"
1741,"false","NA","true","242502208938522",4,1,2,1578041172823,"room000035"
