"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",16,"true","311496916424469",4,1,1,1578013537038,"room000025"
1773,"false","NA","true","951668140438762",4,1,1,1578013537039,"room000025"
