"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",5,"true","199193177989503",4,1,2,1578007219482,"room000009"
1732,"false","NA","true","173032346594407",4,1,2,1578007219485,"room000009"
