"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
5615,"false","NA","39868517605439","REJECT","true","55980643015175",6,2,2,1577801916903,"room000001"
1411,"false","NA","NA","NA","true","39868517605439",6,2,2,1577801918313,"room000001"
