"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2000,"false",33,"true","505113500183740",4,1,1,1578013812457,"room000029"
1751,"false","NA","true","614873440592112",4,1,1,1578013812461,"room000029"
