"time","timeup","value","responseTo","response","done","player","stage.stage","stage.step","stage.round","timestamp","session"
30370,"true","NA","364089286126980","ACCEPT","true","452013767143260",5,2,2,1578051969688,"room000039"
2022,"false","NA","NA","NA","true","364089286126980",5,2,2,1578051971711,"room000039"
