"time","timeup","offer","done","player","stage.stage","stage.step","stage.round","timestamp","session"
2001,"false",16,"true","765280608887650",6,1,1,1578005627460,"room000003"
1729,"false","NA","true","269243237204644",6,1,1,1578005627464,"room000003"
